ISIN,Yahoo Symbol,Company Name
DE000A1EWWW0,ADS,Adidas
NL0000235190,AIR,Airbus
DE0008404005,ALV,Allianz
DE000BASF111,BAS,BASF
DE000BAY0017,BAY,Bayer
DE0005200000,BEI,Beiersdorf
DE0005190003,BMW,BMW St
DE000A1DAHH0,BNR,Brenntag
DE000CBK1001,CBK,Commerzbank
DE0005439004,CON,Continental
DE000DTR0CK8,DTG,Daimler Truck
DE0005140008,DBK,Deutsche Bank
DE0005810055,DB1,Deutsche Börse
DE0005552004,DPW,Deutsche Post DHL
DE0005557508,DTE,Deutsche Telekom
DE000ENAG999,EOAN,E.ON
DE0005785604,FRE,Fresenius
DE0005785802,FME,Fresenius Medical Care
DE0008402215,HNR1,Hannover Rück
DE0006047004,HEI,Heidelberg Materials
DE0006048432,HEN3,Henkel Vz
DE0006231004,IFX,Infineon
DE0007100000,MBG,Mercedes-Benz Group
DE0006599905,MRK,Merck
DE000A0D9PT0,MTX,MTU Aero Engines
DE0008430026,MUV2,Münchener Rück
DE000PAG9113,P911,Porsche AG Vz.
DE000PAH0038,PAH3,Porsche Automobil Holding
NL0012169213,QIA,Qiagen
DE0007030009,RHM,Rheinmetall
DE0007037129,RWE,RWE
DE0007164600,SAP,SAP
DE0007165631,SRT3,Sartorius Vz
DE0007236101,SIE,Siemens
DE000ENER6Y0,ENR,Siemens Energy
DE000SHL1006,SHL,Siemens Healthineers
DE000SYM9999,SY1,Symrise
DE0007664039,VOW3,Volkswagen Vz
DE000A1ML7J1,VNA,Vonovia
DE000ZAL1111,ZAL,Zalando
